comunidad,anio,salario_medio,ipc_valor,poder_adquisitivo
Andalucía,2008,19848.486666666668,86.39866666666667,229.73140017592863
Andalucía,2009,20728.806666666667,86.14999999999999,240.61296188817957
Andalucía,2010,20783.216666666667,87.70058333333333,236.9792295186178
Andalucía,2011,21185.13666666667,90.50358333333332,234.0806395326889
Andalucía,2012,20770.716666666667,92.71741666666667,224.02173629729762
Andalucía,2013,20679.193333333333,94.02341666666666,219.93662926168216
Andalucía,2014,20652.583333333332,93.88133333333333,219.9860462143699
Andalucía,2015,21307.396666666667,93.41158333333334,228.10229637830426
Andalucía,2016,21157.533333333333,93.22233333333334,226.9577747821516
Andalucía,2017,21289.03,95.04583333333333,223.98698873350574
Andalucía,2018,21730.24,96.63783333333333,224.86265730985278
Andalucía,2019,21993.39333333333,97.31383333333333,226.0047989066302
Andalucía,2020,22209.063333333335,96.99975,228.96000591066817
Andalucía,2021,23015.85666666667,100.00008333333334,230.15837486802099
Andalucía,2022,24004.433333333334,108.39066666666668,221.46218001549948
Andalucía,2023,24950.653333333332,112.21941666666667,222.33811290826822
Aragón,2008,21236.763333333332,86.39866666666667,245.79966511828883
Aragón,2009,21927.8,86.14999999999999,254.5304701102728
Aragón,2010,22141.076666666664,87.70058333333333,252.4621367968856
Aragón,2011,22141.196666666667,90.50358333333332,244.64442015647634
Aragón,2012,21970.78,92.71741666666667,236.96497152189133
Aragón,2013,21961.789999999997,94.02341666666666,233.57787643326438
Aragón,2014,21993.01,93.88133333333333,234.26392893155898
Aragón,2015,22277.63666666667,93.41158333333334,238.48901679752422
Aragón,2016,22113.960000000003,93.22233333333334,237.21740498521459
Aragón,2017,22865.206666666665,95.04583333333333,240.57032133619742
Aragón,2018,23415.556666666667,96.63783333333333,242.3021694401951
Aragón,2019,23443.35666666667,97.31383333333333,240.90466754469648
Aragón,2020,23994.793333333335,96.99975,247.3696409870472
Aragón,2021,24894.846666666668,100.00008333333334,248.948259209784
Aragón,2022,25980.463333333333,108.39066666666668,239.69280872891883
Aragón,2023,26779.016666666666,112.21941666666667,238.63086676176803
"Asturias, Principado de",2008,21521.343333333334,86.39866666666667,249.09346594854858
"Asturias, Principado de",2009,22354.48,86.14999999999999,259.48322692977365
"Asturias, Principado de",2010,22066.103333333333,87.70058333333333,251.6072584085815
"Asturias, Principado de",2011,22118.153333333332,90.50358333333332,244.38980777004227
"Asturias, Principado de",2012,21608.496666666666,92.71741666666667,233.0575790776454
"Asturias, Principado de",2013,21983.456666666665,94.02341666666666,233.80831548169294
"Asturias, Principado de",2014,21922.66,93.88133333333333,233.5145786879891
"Asturias, Principado de",2015,22755.36,93.41158333333334,243.60319339410975
"Asturias, Principado de",2016,23061.539999999997,93.22233333333334,247.38213661247121
"Asturias, Principado de",2017,23628.38333333333,95.04583333333333,248.59988601990267
"Asturias, Principado de",2018,23857.486666666664,96.63783333333333,246.87522312689816
"Asturias, Principado de",2019,24882.073333333334,97.31383333333333,255.6889650837582
"Asturias, Principado de",2020,24594.686666666665,96.99975,253.554124280389
"Asturias, Principado de",2021,25085.02333333333,100.00008333333334,250.85002429164638
"Asturias, Principado de",2022,26704.03,108.39066666666668,246.36835274869912
"Asturias, Principado de",2023,27919.646666666667,112.21941666666667,248.7951505718336
"Balears, Illes",2008,20267.2,86.39866666666667,234.5776941002176
"Balears, Illes",2009,21019.596666666668,86.14999999999999,243.98835364674022
"Balears, Illes",2010,21546.27666666667,87.70058333333333,245.67996982156146
"Balears, Illes",2011,21305.73,90.50358333333332,235.4131097939953
