comunidad,anio,salario_medio
Galicia,2011,19881.366666666665
Galicia,2012,19392.013333333332
Galicia,2013,19868.47333333333
Galicia,2014,20165.99
Galicia,2015,20635.856666666663
Galicia,2016,21050.266666666666
Galicia,2017,21587.016666666666
Galicia,2018,22204.89
Galicia,2019,22179.49666666667
Galicia,2020,22852.45
Galicia,2021,23334.806666666667
Galicia,2022,24236.440000000002
Galicia,2023,25304.26
"Madrid, Comunidad de",2008,25095.26
"Madrid, Comunidad de",2009,25747.320000000003
"Madrid, Comunidad de",2010,25908.8
"Madrid, Comunidad de",2011,25775.75
"Madrid, Comunidad de",2012,26000.58
"Madrid, Comunidad de",2013,26132.98
"Madrid, Comunidad de",2014,26543.839999999997
"Madrid, Comunidad de",2015,26410.73
"Madrid, Comunidad de",2016,26270.89
"Madrid, Comunidad de",2017,27009.62
"Madrid, Comunidad de",2018,26917.753333333338
"Madrid, Comunidad de",2019,27740.813333333335
"Madrid, Comunidad de",2020,28741.553333333333
"Madrid, Comunidad de",2021,29434.843333333334
"Madrid, Comunidad de",2022,31155.86666666667
"Madrid, Comunidad de",2023,32174.00333333333
"Murcia, Región de",2008,18702.293333333335
"Murcia, Región de",2009,20147.99
"Murcia, Región de",2010,20728.04333333333
"Murcia, Región de",2011,20863.85666666667
"Murcia, Región de",2012,20542.186666666665
"Murcia, Región de",2013,20278.45
"Murcia, Región de",2014,20545.696666666667
"Murcia, Región de",2015,20747.446666666667
"Murcia, Región de",2016,21074.513333333332
"Murcia, Región de",2017,21122.27
"Murcia, Región de",2018,21259.823333333334
"Murcia, Región de",2019,21948.216666666664
"Murcia, Región de",2020,22718.006666666664
"Murcia, Región de",2021,23048.626666666667
"Murcia, Región de",2022,23682.906666666666
"Murcia, Región de",2023,25201.27666666667
"Navarra, Comunidad Foral de",2008,23063.75
"Navarra, Comunidad Foral de",2009,23300.343333333334
"Navarra, Comunidad Foral de",2010,23578.173333333336
"Navarra, Comunidad Foral de",2011,24065.546666666665
"Navarra, Comunidad Foral de",2012,23626.436666666665
"Navarra, Comunidad Foral de",2013,23683.170000000002
"Navarra, Comunidad Foral de",2014,24507.873333333333
"Navarra, Comunidad Foral de",2015,24718.14333333333
"Navarra, Comunidad Foral de",2016,25171.123333333333
"Navarra, Comunidad Foral de",2017,25975.819999999996
"Navarra, Comunidad Foral de",2018,26202.819999999996
"Navarra, Comunidad Foral de",2019,27262.55
"Navarra, Comunidad Foral de",2020,27787.0
"Navarra, Comunidad Foral de",2021,28303.91
"Navarra, Comunidad Foral de",2022,29060.89
"Navarra, Comunidad Foral de",2023,31094.899999999998
País Vasco,2008,25192.399999999998
País Vasco,2009,25851.61333333333
